"c,r",0.7575000000000001;0.76,0.56;0.5625,6.2499999999997335e-06,0.001,1,1
"c,r",0.75;0.7525,0.9450000000000001;0.9475,6.2499999999997335e-06,0.001,0,1
"c,r",0.5675000000000001;0.5700000000000001,1.1425;1.145,6.2499999999997335e-06,0.001,0,1
"c,r",0.875;0.8775,0.8725;0.875,6.2499999999997335e-06,0.001,0,1
"c,r",0.8200000000000001;0.8225,0.8200000000000001;0.8225,6.2499999999997335e-06,0.001,2,1
"c,r",0.7575000000000001;0.76,0.7575000000000001;0.76,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.685;0.6875,1.335;1.3375,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.6825000000000001;0.685,0.9525000000000001;0.9550000000000001,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.7575000000000001;0.76,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.75;0.7525,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.56;0.5625,1.0775000000000001;1.08,6.2499999999997335e-06,0.001,0,1
"c,r",0.5675000000000001;0.5700000000000001,1.1400000000000001;1.1425,6.2499999999997335e-06,0.001,0,1
"c,r",0.56;0.5625,1.145;1.1475,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.78;0.7825,6.2499999999997335e-06,0.001,0,1
"c,r",0.6925000000000001;0.6950000000000001,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.8075000000000001;0.81,6.2499999999997335e-06,0.001,0,1
"c,r",0.5275000000000001;0.53,1.1749999999999998;1.1774999999999998,6.2499999999997335e-06,0.001,0,1
"c,r",1.8225000000000002;1.8250000000000002,1.9725000000000001;1.975,6.2499999999997335e-06,0.001,0,2
"c,r",0.75;0.7525,0.8075000000000001;0.81,6.2499999999997335e-06,0.001,0,1
"c,r",0.75;0.7525,0.71;0.7124999999999999,6.2499999999997335e-06,0.001,1,1
"c,r",0.77;0.7725,0.7775000000000001;0.78,6.2499999999997335e-06,0.001,1,1
"c,r",0.56;0.5625,1.0725000000000002;1.0750000000000002,6.2499999999997335e-06,0.001,1,1
"c,r",0.56;0.5625,1.0750000000000002;1.0775000000000001,6.2499999999997335e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.6825000000000001;0.685,6.2499999999997335e-06,0.001,0,1
"c,r",1.4325;1.435,2.3375;2.34,6.2499999999997335e-06,0.001,0,2
"c,r",0.7575000000000001;0.76,0.7575000000000001;0.76,6.2499999999997335e-06,0.001,0,1
"c,r",1.4325;1.435,2.335;2.3375,6.2499999999997335e-06,0.001,0,2
"c,r",0.8175000000000001;0.8200000000000001,0.75;0.7525,6.2499999999997335e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.6825000000000001;0.685,6.2499999999997335e-06,0.001,0,1
"c,r",1.4325;1.435,2.33;2.3325,6.2499999999997335e-06,0.001,0,2
"c,r",1.4325;1.435,2.3325;2.335,6.2499999999997335e-06,0.001,0,2
"c,r",0.75;0.7525,0.685;0.6875,6.2499999999997335e-06,0.001,0,1
"c,r",0.75;0.7525,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.7175;0.72,0.8;0.8025,6.2499999999997335e-06,0.001,2,1
"c,r",0.5675000000000001;0.5700000000000001,1.0750000000000002;1.0775000000000001,6.2499999999997335e-06,0.001,0,1
"c,r",0.75;0.7525,0.8200000000000001;0.8225,6.2499999999997335e-06,0.001,0,1
"c,r",0.7175;0.72,0.7575000000000001;0.76,6.2499999999997335e-06,0.001,0,1
"c,r",0.5675000000000001;0.5700000000000001,1.0775000000000001;1.08,6.2499999999997335e-06,0.001,0,1
"c,r",0.56;0.5625,1.0750000000000002;1.0775000000000001,6.2499999999997335e-06,0.001,1,1
"c,r",0.685;0.6875,0.685;0.6875,6.2499999999997335e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.8200000000000001;0.8225,6.2499999999997335e-06,0.001,0,1
"c,r",0.71;0.7124999999999999,0.75;0.7525,6.2499999999997335e-06,0.001,0,1
"c,r",0.56;0.5625,1.0775000000000001;1.08,6.2499999999997335e-06,0.001,1,1
"c,r",0.75;0.7525,0.8275000000000001;0.8300000000000001,6.2499999999997335e-06,0.001,0,1
"c,r",0.56;0.5625,1.0725000000000002;1.0750000000000002,6.2499999999997335e-06,0.001,0,1
"c,r",0.685;0.6875,0.6825000000000001;0.685,6.2499999999997335e-06,0.001,0,1
"c,r",0.5675000000000001;0.5700000000000001,1.0725000000000002;1.0750000000000002,6.2499999999997335e-06,0.001,1,1
"c,r",0.77;0.7725,0.77;0.7725,6.2499999999997335e-06,0.001,1,1
"c,r",0.81;0.8125,0.81;0.8125,6.2499999999997335e-06,0.001,0,1
"c,r",0.435;0.4375,1.0725000000000002;1.0750000000000002,6.249999999999872e-06,0.001,0,1
"c,r",0.4375;0.44,1.0725000000000002;1.0750000000000002,6.249999999999872e-06,0.001,0,1
"c,r",0.4375;0.44,1.2125;1.2149999999999999,6.249999999999872e-06,0.001,0,1
"c,r",0.43;0.4325,1.0775000000000001;1.08,6.249999999999872e-06,0.001,2,1
"c,r",0.4325;0.435,1.0725000000000002;1.0750000000000002,6.249999999999872e-06,0.001,0,1
"c,r",0.4325;0.435,1.145;1.1475,6.249999999999872e-06,0.001,0,1
"c,r",0.43;0.4325,1.145;1.1475,6.249999999999872e-06,0.001,0,1
"c,r",0.4375;0.44,1.0775000000000001;1.08,6.249999999999872e-06,0.001,1,1
"c,r",0.4325;0.435,1.145;1.1475,6.249999999999872e-06,0.001,0,1
"c,r",0.43;0.4325,1.145;1.1475,6.249999999999872e-06,0.001,0,1
"c,r",0.495;0.4975,2.8675;2.87,6.249999999999872e-06,0.001,0,2
"c,r",0.495;0.4975,2.865;2.8675,6.249999999999872e-06,0.001,0,2
"c,r",0.4975;0.5,2.8675;2.87,6.249999999999872e-06,0.001,0,2
"c,r",0.4975;0.5,2.865;2.8675,6.249999999999872e-06,0.001,0,2
"c,r",0.455;0.4575,1.0925000000000002;1.0950000000000002,6.249999999999872e-06,0.001,0,1
"c,r",0.4575;0.46,1.0925000000000002;1.0950000000000002,6.249999999999872e-06,0.001,0,1
"c,r",0.4975;0.5,2.86;2.8625,6.249999999999872e-06,0.001,0,2
"c,r",0.495;0.4975,2.86;2.8625,6.249999999999872e-06,0.001,0,2
"c,r",0.385;0.3875,1.025;1.0274999999999999,6.249999999999872e-06,0.001,0,1
"c,r",0.3875;0.39,1.025;1.0274999999999999,6.249999999999872e-06,0.001,0,1
"c,r",2.6025;2.605,0.2025;0.20500000000000002,6.249999999999872e-06,0.001,0,2
"c,r",0.385;0.3875,1.145;1.1475,6.249999999999872e-06,0.001,0,1
"c,r",0.3875;0.39,1.145;1.1475,6.249999999999872e-06,0.001,0,1
"c,r",2.6075;2.61,0.2;0.2025,6.249999999999872e-06,0.001,0,2
"c,r",2.6075;2.61,0.2025;0.20500000000000002,6.249999999999872e-06,0.001,0,2
"c,r",2.605;2.6075,0.2025;0.20500000000000002,6.249999999999872e-06,0.001,0,2
"c,r",2.605;2.6075,0.2;0.2025,6.249999999999872e-06,0.001,0,2
"c,r",2.6025;2.605,0.2;0.2025,6.249999999999872e-06,0.001,0,2
"c,r",2.6;2.6025,0.2025;0.20500000000000002,6.249999999999872e-06,0.001,0,2
"c,r",2.6;2.6025,0.2;0.2025,6.249999999999872e-06,0.001,0,2
"c,r",0.43;0.4325,1.2025000000000001;1.205,6.249999999999872e-06,0.001,0,1
"c,r",0.4325;0.435,1.2025000000000001;1.205,6.249999999999872e-06,0.001,0,1
"c,r",0.4375;0.44,1.2149999999999999;1.2174999999999998,6.249999999999872e-06,0.001,0,1
"c,r",0.43;0.4325,1.2125;1.2149999999999999,6.249999999999872e-06,0.001,0,1
"c,r",0.4325;0.435,1.2125;1.2149999999999999,6.249999999999872e-06,0.001,0,1
"c,r",0.4325;0.435,1.21;1.2125,6.249999999999872e-06,0.001,0,1
"c,r",0.43;0.4325,1.21;1.2125,6.249999999999872e-06,0.001,0,1
"c,r",0.6950000000000001;0.6975,0.6900000000000001;0.6925000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.6875;0.6900000000000001,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,2,1
"c,r",0.7575000000000001;0.76,0.6975;0.7000000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.81;0.8125,0.755;0.7575000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.8250000000000001;0.8275000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.6950000000000001;0.6975,0.7525;0.755,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.6900000000000001;0.6925000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.755;0.7575000000000001,0.8275000000000001;0.8300000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.6950000000000001;0.6975,0.8250000000000001;0.8275000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.6925000000000001;0.6950000000000001,0.7525;0.755,6.250000000000011e-06,0.001,1,1
"c,r",0.6925000000000001;0.6950000000000001,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.7575000000000001;0.76,6.250000000000011e-06,0.001,2,1
"c,r",0.8775;0.88,0.8725;0.875,6.250000000000011e-06,0.001,1,1
"c,r",0.8200000000000001;0.8225,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.8200000000000001;0.8225,0.8250000000000001;0.8275000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.8275000000000001;0.8300000000000001,0.8250000000000001;0.8275000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.8225;0.8250000000000001,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,1,1
"c,r",0.8250000000000001;0.8275000000000001,0.8275000000000001;0.8300000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.81;0.8125,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.8125;0.8150000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.5774999999999999;0.58,1.2225000000000001;1.225,6.250000000000011e-06,0.001,0,1
"c,r",0.66;0.6625000000000001,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.6625000000000001;0.665,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.6725000000000001;0.675,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.67;0.6725000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.785;0.7875000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.7875000000000001;0.79,6.250000000000011e-06,0.001,0,1
"c,r",0.5650000000000001;0.5675000000000001,1.145;1.1475,6.250000000000011e-06,0.001,1,1
"c,r",0.75;0.7525,0.8250000000000001;0.8275000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.6975;0.7000000000000001,0.7575000000000001;0.76,6.250000000000011e-06,0.001,2,1
"c,r",0.7275;0.73,0.7825;0.785,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.6325000000000001;0.635,6.250000000000011e-06,0.001,0,1
"c,r",0.725;0.7275,0.78;0.7825,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.63;0.6325000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.6900000000000001;0.6925000000000001,0.6925000000000001;0.6950000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.75;0.7525,0.755;0.7575000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.9475;0.9500000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.805;0.8075000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.8075000000000001;0.81,6.250000000000011e-06,0.001,0,1
"c,r",0.9450000000000001;0.9475,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.7275;0.73,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.725;0.7275,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.805;0.8075000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.8075000000000001;0.81,6.250000000000011e-06,0.001,0,1
"c,r",0.6975;0.7000000000000001,0.75;0.7525,6.250000000000011e-06,0.001,2,1
"c,r",0.755;0.7575000000000001,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",2.1375;2.14,0.8474999999999999;0.85,6.250000000000011e-06,0.001,0,2
"c,r",0.7525;0.755,0.645;0.6475,6.250000000000011e-06,0.001,0,1
"c,r",0.6900000000000001;0.6925000000000001,0.75;0.7525,6.250000000000011e-06,0.001,1,1
"c,r",0.545;0.5475000000000001,1.145;1.1475,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.6475;0.65,6.250000000000011e-06,0.001,0,1
"c,r",0.6925000000000001;0.6950000000000001,0.755;0.7575000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.7525;0.755,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.6900000000000001;0.6925000000000001,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.6900000000000001;0.6925000000000001,0.8275000000000001;0.8300000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.61;0.6125,1.1425;1.145,6.250000000000011e-06,0.001,0,1
"c,r",0.61;0.6125,1.1400000000000001;1.1425,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.8175000000000001;0.8200000000000001,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.8025;0.805,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.8;0.8025,6.250000000000011e-06,0.001,0,1
"c,r",0.8250000000000001;0.8275000000000001,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.68;0.6825000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.63;0.6325000000000001,0.6325000000000001;0.635,6.250000000000011e-06,0.001,0,1
"c,r",0.6325000000000001;0.635,0.63;0.6325000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.5650000000000001;0.5675000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.5675000000000001;0.5700000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.5625;0.5650000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.56;0.5625,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.9450000000000001;0.9475,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.7575000000000001;0.76,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.9475;0.9500000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.6875;0.6900000000000001,1.335;1.3375,6.250000000000011e-06,0.001,0,1
"c,r",0.8225;0.8250000000000001,0.8275000000000001;0.8300000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.8275000000000001;0.8300000000000001,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.6950000000000001;0.6975,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,2,1
"c,r",0.5675000000000001;0.5700000000000001,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.5650000000000001;0.5675000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.875;0.8775,0.87;0.8725,6.250000000000011e-06,0.001,0,1
"c,r",0.5650000000000001;0.5675000000000001,1.1425;1.145,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.7525;0.755,6.250000000000011e-06,0.001,1,1
"c,r",0.6825000000000001;0.685,0.9500000000000001;0.9525000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.68;0.6825000000000001,0.9525000000000001;0.9550000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.7525;0.755,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.755;0.7575000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.755;0.7575000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.5650000000000001;0.5675000000000001,1.1400000000000001;1.1425,6.250000000000011e-06,0.001,0,1
"c,r",0.5625;0.5650000000000001,1.145;1.1475,6.250000000000011e-06,0.001,0,1
"c,r",0.6925000000000001;0.6950000000000001,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.6900000000000001;0.6925000000000001,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.7825;0.785,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.805;0.8075000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.78;0.7825,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.8075000000000001;0.81,6.250000000000011e-06,0.001,0,1
"c,r",0.5625;0.5650000000000001,1.0750000000000002;1.0775000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.525;0.5275000000000001,1.1749999999999998;1.1774999999999998,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.71;0.7124999999999999,6.250000000000011e-06,0.001,1,1
"c,r",0.5625;0.5650000000000001,1.0725000000000002;1.0750000000000002,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.7124999999999999;0.715,6.250000000000011e-06,0.001,1,1
"c,r",0.7725;0.775,0.7775000000000001;0.78,6.250000000000011e-06,0.001,1,1
"c,r",0.7525;0.755,0.8075000000000001;0.81,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.805;0.8075000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.5625;0.5650000000000001,1.0775000000000001;1.08,6.250000000000011e-06,0.001,0,1
"c,r",0.5650000000000001;0.5675000000000001,1.0750000000000002;1.0775000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.77;0.7725,0.775;0.7775000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.75;0.7525,0.6975;0.7000000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.755;0.7575000000000001,0.6825000000000001;0.685,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.6825000000000001;0.685,6.250000000000011e-06,0.001,0,1
"c,r",0.8175000000000001;0.8200000000000001,0.7525;0.755,6.250000000000011e-06,0.001,1,1
"c,r",0.7575000000000001;0.76,0.68;0.6825000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.685;0.6875,6.250000000000011e-06,0.001,0,1
"c,r",0.8150000000000001;0.8175000000000001,0.75;0.7525,6.250000000000011e-06,0.001,1,1
"c,r",0.75;0.7525,0.6875;0.6900000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7525;0.755,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.5650000000000001;0.5675000000000001,1.0775000000000001;1.08,6.250000000000011e-06,0.001,0,1
"c,r",0.6875;0.6900000000000001,0.6825000000000001;0.685,6.250000000000011e-06,0.001,1,1
"c,r",0.75;0.7525,0.7525;0.755,6.250000000000011e-06,0.001,0,1
"c,r",0.75;0.7525,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.6875;0.6900000000000001,0.685;0.6875,6.250000000000011e-06,0.001,1,1
"c,r",0.7525;0.755,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,0,1
"c,r",0.715;0.7175,0.7575000000000001;0.76,6.250000000000011e-06,0.001,0,1
"c,r",0.7175;0.72,0.755;0.7575000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7175;0.72,0.8025;0.805,6.250000000000011e-06,0.001,1,1
"c,r",0.685;0.6875,0.68;0.6825000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.8275000000000001;0.8300000000000001,0.6975;0.7000000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.5625;0.5650000000000001,1.0750000000000002;1.0775000000000001,6.250000000000011e-06,0.001,1,1
"c,r",0.5625;0.5650000000000001,1.0775000000000001;1.08,6.250000000000011e-06,0.001,1,1
"c,r",0.685;0.6875,0.6875;0.6900000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.7575000000000001;0.76,0.8225;0.8250000000000001,6.250000000000011e-06,0.001,0,1
"c,r",0.755;0.7575000000000001,0.8200000000000001;0.8225,6.250000000000011e-06,0.001,0,1
"c,r",0.7124999999999999;0.715,0.75;0.7525,6.250000000000011e-06,0.001,0,1
"c,r",0.71;0.7124999999999999,0.7525;0.755,6.250000000000011e-06,0.001,0,1
